Rekommendationer||
ID|Kategori (REK/OBS)|till webcert: Rekommenderade åtgärder(REK)/Tänk på att (OBS)
216|REK|Psykoterapi: KBT, Acceptance and Commitment Therapy (ACT), interpersonell psykoterapi (IPT), psykodynamisk korttidsterapi (ISTDP)
217|REK|Beteendemedicinsk behandling i kombination med fysisk träning, via vårdcentral eller fysioterapeut
218|REK|Akupunktur för smärtlindring via naprapat, kiropraktor eller fysioterapeut
219|OBS|Byte av yrke eller arbetsplats kan vara alternativ på sikt
220|OBS|Vissa patienter tenderar att överanstränga sig under episoder med mindre smärta och får som konsekvens episoder med svår smärta och uttalad oförmåga
221|OBS|Passiv sjukskrivning och ogenomtänkta förnyade utredningar är skadliga
222|OBS|Symtomen förvärras av stressfaktorer på arbetsplatsen, t.ex. dåliga relationer, monotona arbeten eller långa stunder sittande vid datorn utan paus
223|OBS|Utesluta andra somatiska och ev. psykiska åkommor
224|OBS|Obehandlad långvarig smärta kan öka risken för fibromyalgi
225|OBS|Uppmuntra till fysisk aktivitet trots initialt övergående smärtökning
226|OBS|Patienter ofta känner sig maktlösa pga. en osäkerhet kring diagnosen och en skepsis inom sjukvården vilket måste tas på allvar
227|OBS|Behandling som inkluderar fysisk aktivitet ger 20-30 procent bättre smärtlindrande effekt
228|REK|Multimodal rehabilitering, via vårdgivare eller företagshälsovård alt. specialistmottagning
229|REK|Arbetsplatsbesök och arbetsträning, via arbetsgivare och ev. företagshälsovård
230|REK|Ergonomisk arbetsplatsbedömning, via arbetsgivare och ev. företagshälsovård
231|REK|Rehabsamordning och plan för återgång i arbete, i samverkan med närstående, vårdgivare, arbetsgivare och Försäkringskassan
232|REK|FaR med smärtlindring, rådgivning och träningsprogram, via fysioterapeut
233|REK|Arbetsanpassning, arbetsplatsbesök och arbetsträning via arbetsgivare och ev. företagshälsovård
234|REK|FaR med smärtlindring, rådgivning och träningsprogram, via fysioterapeut
235|OBS|Diskutera potentiella arbetsrelaterade och/eller socialt belastande faktorer
236|OBS|Utesluta andra bakomliggande somatiska och psykiska åkommor
237|OBS|Uppmuntra till någon form av fortsatt arbete och kontakt med arbetsgivare och arbetskamrater
238|REK|Rehabsamordning och plan för återgång i arbete, i samverkan med närstående, vårdgivare, arbetsgivare och Försäkringskassan
239|REK|Vid kroniskt trötthetssyndrom: KBT (kognitiv beteendeterapi) i kombination med GET (gradvis ökad träning)
